Property,Month,Balance
104Meadow,2021-11,"10,901.80"
108Meadow,2021-11,"11,145.85"
116Meadow,2021-11,"13,362.85"
116MeadowSavings,2021-11,"5,304.42"
1342Newton,2021-11,"18,341.03"
1316Rosemon,2021-11,"29,790.07"
874Wintergreen,2021-11,"10,026.66"
PagodaSecurity,2021-11,"12,428.10"
711Parks,2021-11,"16,855.14"
Midway,2021-11,"49,917.01"
1117Brewer,2021-11,"11,448.57"
Partnership,2021-11,"89,914.18"
8604Wagon,2021-11,"10,730.40"
114Sidney,2021-11,"1,963.63"
2224Heatherton,2021-11,"64,427.71"
4920Brianhill,2021-11,"18,726.92"
Common,2021-11,320.13
6401Basswood,2021-11,"9,044.60"
4909Jamesway,2021-11,"37,943.25"
7417Canoga,2021-11,"15,296.94"
TrustChase,2021-11, -   
MeadowSecurity,2021-12,"7,565.00"
TrustAccount,2021-12,"5,300.00"
1905Morning,2021-12,"3,958.34"
2417Garden,2021-12,"2,932.00"
108Pagoda,2021-12,"3,892.21"
2208Chase,2021-12,"8,570.98"
104Meadow,2021-12,"3,049.49"
108Meadow,2021-12,"3,553.71"
116Meadow,2021-12,"3,171.72"
116MeadowSavings,2021-12,"1,454.47"
1342Newton,2021-12,"3,539.75"
1316Rosemon,2021-12,"10,145.72"
874Wintergreen,2021-12,"3,132.72"
PagodaSecurity,2021-12,"20,428.21"
711Parks,2021-12,"6,228.41"
Midway,2021-12,"28,083.81"
1117Brewer,2021-12,"3,518.62"
Partnership,2021-12,"175,915.69"
8604Wagon,2021-12,"2,699.34"
114Sidney,2021-12,"2,072.70"
2224Heatherton,2021-12,"72,015.91"
4920Brianhill,2021-12,"4,413.92"
Common,2021-12,"3,842.75"
6401Basswood,2021-12,103.05
4909Jamesway,2021-12,"4,731.27"
7417Canoga,2021-12,"4,274.48"
TrustChase,2021-12,200
MeadowSecurity,2022-01,"7,565.00"
TrustAccount,2022-01,"6,200.00"
1905Morning,2022-01,"5,202.03"
2417Garden,2022-01,"5,504.30"
108Pagoda,2022-01,"4,617.24"
2208Chase,2022-01,"8,571.05"
104Meadow,2022-01,"3,668.29"
108Meadow,2022-01,"4,424.78"
116Meadow,2022-01,"4,140.70"
116MeadowSavings,2022-01,"1,604.48"
1342Newton,2022-01,"2,901.37"
1316Rosemon,2022-01,"12,039.13"
874Wintergreen,2022-01,"4,058.71"
PagodaSecurity,2022-01,"20,428.38"
711Parks,2022-01,"5,419.46"
Midway,2022-01,"31,897.25"
1117Brewer,2022-01,"6,322.14"
Partnership,2022-01,"175,918.68"
8604Wagon,2022-01,"3,630.55"
114Sidney,2022-01,"5,654.69"
2224Heatherton,2022-01,"72,015.91"
4920Brianhill,2022-01,"7,030.86"
Common,2022-01,950.75
6401Basswood,2022-01,"6,749.95"
4909Jamesway,2022-01,"13,570.36"
7417Canoga,2022-01,"7,266.14"
TrustChase,2022-01,"2,400.00"
MeadowSecurity,2022-02,"7,565.00"
TrustAccount,2022-02,"7,250.00"
1905Morning,2022-02,"4,295.72"
2417Garden,2022-02,"6,632.56"
108Pagoda,2022-02,"5,565.27"
2208Chase,2022-02,"8,571.12"
104Meadow,2022-02,"3,993.09"
108Meadow,2022-02,"5,295.85"
116Meadow,2022-02,"5,109.68"
116MeadowSavings,2022-02,"1,754.49"
1342Newton,2022-02,"4,057.99"
1316Rosemon,2022-02,"13,355.04"
874Wintergreen,2022-02,"3,800.70"
PagodaSecurity,2022-02,"20,428.54"
711Parks,2022-02,"4,610.51"
Midway,2022-02,"73,759.50"
1117Brewer,2022-02,"6,910.66"
Partnership,2022-02,"170,921.32"
8604Wagon,2022-02,"4,561.76"
114Sidney,2022-02,"6,145.90"
2224Heatherton,2022-02,"72,015.91"
4920Brianhill,2022-02,"9,173.87"
Common,2022-02,"1,195.68"
6401Basswood,2022-02,"12,605.63"
4909Jamesway,2022-02,"15,546.75"
7417Canoga,2022-02,"7,133.59"
TrustChase,2022-02,"2,400.00"
MeadowSecurity,2022-03,"7,565.00"
TrustAccount,2022-03,"7,250.00"
1905Morning,2022-03,"5,552.41"
2417Garden,2022-03,"7,907.39"
108Pagoda,2022-03,"6,508.30"
2208Chase,2022-03,"8,571.19"
104Meadow,2022-03,"4,907.89"
108Meadow,2022-03,"6,166.92"
116Meadow,2022-03,"6,078.66"
116MeadowSavings,2022-03,"1,904.51"
1342Newton,2022-03,"5,211.28"
1316Rosemon,2022-03,"15,248.45"
874Wintergreen,2022-03,"4,326.69"
PagodaSecurity,2022-03,"20,428.71"
711Parks,2022-03,"3,801.56"
Midway,2022-03,"82,316.35"
1117Brewer,2022-03,"7,919.18"
Partnership,2022-03,"170,924.23"
8604Wagon,2022-03,"5,542.97"
114Sidney,2022-03,"6,140.56"
2224Heatherton,2022-03,"57,772.16"
4920Brianhill,2022-03,"10,603.31"
Common,2022-03,"-1,632.32"
6401Basswood,2022-03,"20,186.77"
4909Jamesway,2022-03,"13,465.50"
7417Canoga,2022-03,"6,153.84"
TrustChase,2022-03,"2,400.00"
MeadowSecurity,2022-04,"7,565.00"
TrustAccount,2022-04,"7,250.00"
1905Morning,2022-04,"4,461.10"
2417Garden,2022-04,"3,734.73"
108Pagoda,2022-04,"5,031.16"
2208Chase,2022-04,"8,571.19"
104Meadow,2022-04,"4,102.69"
108Meadow,2022-04,"5,342.99"
116Meadow,2022-04,"5,197.64"
116MeadowSavings,2022-04,"2,054.53"
1342Newton,2022-04,"8,159.57"
1316Rosemon,2022-04,"13,951.86"
874Wintergreen,2022-04,"5,252.68"
PagodaSecurity,2022-04,"20,428.88"
711Parks,2022-04,"2,992.61"
Midway,2022-04,"56,406.98"
1117Brewer,2022-04,"7,132.70"
Partnership,2022-04,"167,127.03"
8604Wagon,2022-04,"4,372.19"
114Sidney,2022-04,"5,936.48"
2224Heatherton,2022-04,"55,553.16"
4920Brianhill,2022-04,"8,984.25"
Common,2022-04,206.77
6401Basswood,2022-04,"21,965.23"
4909Jamesway,2022-04,"13,752.10"
7417Canoga,2022-04,"8,165.71"
TrustChase,2022-04,"2,400.00"
MeadowSecurity,2022-05,"7,565.00"
TrustAccount,2022-05,"7,250.00"
1905Morning,2022-05,"8,174.79"
2417Garden,2022-05,"9,668.90"
108Pagoda,2022-05,"7,553.25"
2208Chase,2022-05,"8,571.33"
104Meadow,2022-05,"5,633.49"
108Meadow,2022-05,"3,535.94"
116Meadow,2022-05,"7,716.62"
116MeadowSavings,2022-05,"2,204.55"
1342Newton,2022-05,"7,518.41"
1316Rosemon,2022-05,"18,835.27"
874Wintergreen,2022-05,"3,809.14"
PagodaSecurity,2022-05,"20,429.06"
711Parks,2022-05,"5,765.66"
Midway,2022-05,"95,824.24"
1117Brewer,2022-05,"9,936.22"
Partnership,2022-05,"167,129.87"
8604Wagon,2022-05,"7,003.40"
114Sidney,2022-05,"7,951.70"
2224Heatherton,2022-05,"53,743.16"
4920Brianhill,2022-05,"7,045.44"
Common,2022-05,47.68
6401Basswood,2022-05,"15,042.60"
4909Jamesway,2022-05,"14,735.49"
7417Canoga,2022-05,"3,038.60"
TrustChase,2022-05,"2,400.00"
MeadowSecurity,2022-06,"7,565.00"
TrustAccount,2022-06,"7,250.00"
1905Morning,2022-06,"7,868.48"
2417Garden,2022-06,"6,553.39"
108Pagoda,2022-06,"8,255.25"
2208Chase,2022-06,"8,571.41"
104Meadow,2022-06,"4,326.29"
108Meadow,2022-06,"2,946.20"
116Meadow,2022-06,"8,362.60"
116MeadowSavings,2022-06,"2,354.56"
1342Newton,2022-06,"8,672.25"
1316Rosemon,2022-06,"16,143.68"
874Wintergreen,2022-06,"6,430.13"
PagodaSecurity,2022-06,"20,429.22"
711Parks,2022-06,"8,896.71"
Midway,2022-06,"104,737.67"
1117Brewer,2022-06,"8,051.74"
Partnership,2022-06,"19,952.05"
8604Wagon,2022-06,"6,779.61"
114Sidney,2022-06,"7,270.73"
2224Heatherton,2022-06,"51,513.16"
4920Brianhill,2022-06,"18,091.98"
Common,2022-06,47.68
6401Basswood,2022-06,"21,457.81"
4909Jamesway,2022-06,"28,089.76"
7417Canoga,2022-06,"1,773.23"
TrustChase,2022-06,"2,400.00"
MeadowSecurity,2022-07,"7,565.00"
TrustAccount,2022-07,"6,350.00"
1905Morning,2022-07,"6,962.17"
2417Garden,2022-07,"5,605.71"
108Pagoda,2022-07,"6,362.30"
2208Chase,2022-07,"8,571.48"
104Meadow,2022-07,"3,521.09"
108Meadow,2022-07,"1,373.34"
116Meadow,2022-07,"7,681.58"
116MeadowSavings,2022-07,"2,504.59"
1342Newton,2022-07,"9,826.09"
1316Rosemon,2022-07,"10,232.35"
874Wintergreen,2022-07,"5,661.12"
PagodaSecurity,2022-07,"20,429.40"
711Parks,2022-07,"7,353.81"
Midway,2022-07,"114,374.81"
1117Brewer,2022-07,"6,553.78"
Partnership,2022-07,"170,838.80"
8604Wagon,2022-07,"5,860.82"
114Sidney,2022-07,"6,391.02"
2224Heatherton,2022-07,"50,396.16"
4920Brianhill,2022-07,"14,276.19"
Common,2022-07,47.68
6401Basswood,2022-07,"19,984.75"
4909Jamesway,2022-07,"27,705.62"
7417Canoga,2022-07,"6,391.23"
TrustChase,2022-07,"2,400.00"
MeadowSecurity,2022-08,"5,765.00"
TrustAccount,2022-08,"6,350.00"
1905Morning,2022-08,"12,589.36"
2417Garden,2022-08,"10,980.31"
108Pagoda,2022-08,"8,911.27"
2208Chase,2022-08,"8,571.55"
104Meadow,2022-08,"10,045.92"
108Meadow,2022-08,"5,462.28"
116Meadow,2022-08,"10,400.56"
116MeadowSavings,2022-08,"2,654.61"
1342Newton,2022-08,"9,184.93"
1316Rosemon,2022-08,"17,333.74"
874Wintergreen,2022-08,"8,282.11"
PagodaSecurity,2022-08,"20,429.57"
711Parks,2022-08,"10,444.86"
Midway,2022-08,"180,900.78"
1117Brewer,2022-08,"11,152.30"
Partnership,2022-08,"169,841.69"
8604Wagon,2022-08,"8,842.03"
114Sidney,2022-08,"8,756.31"
2224Heatherton,2022-08,"47,109.16"
4920Brianhill,2022-08,"16,083.03"
Common,2022-08,47.68
6401Basswood,2022-08,"24,896.04"
4909Jamesway,2022-08,"31,039.35"
7417Canoga,2022-08,"8,664.54"
TrustChase,2022-08,"2,400.00"
MeadowSecurity,2022-09,"5,765.00"
TrustAccount,2022-09,"6,350.00"
1905Morning,2022-09,"115,036.95"
2417Garden,2022-09,"9,987.79"
108Pagoda,2022-09,"7,958.59"
2208Chase,2022-09,"8,571.62"
104Meadow,2022-09,"9,211.26"
108Meadow,2022-09,"3,378.82"
116Meadow,2022-09,"9,690.08"
116MeadowSavings,2022-09,"2,804.63"
1342Newton,2022-09,"8,170.33"
1316Rosemon,2022-09,"15,822.47"
874Wintergreen,2022-09,"7,457.58"
PagodaSecurity,2022-09,"20,429.74"
711Parks,2022-09,"10,196.53"
Midway,2022-09,"165,222.27"
1117Brewer,2022-09,"10,874.48"
Partnership,2022-09,"169,844.48"
8604Wagon,2022-09,"7,865.65"
114Sidney,2022-09,"7,848.30"
2224Heatherton,2022-09,"45,342.16"
4920Brianhill,2022-09,"14,699.97"
Common,2022-09,47.68
6401Basswood,2022-09,"23,259.72"
4909Jamesway,2022-09,"30,592.20"
7417Canoga,2022-09,"11,019.92"
TrustChase,2022-09,"1,200.00"
MeadowSecurity,2022-10,"1,565.00"
TrustAccount,2022-10,"6,350.00"
1905Morning,2022-10,"113,271.95"
2417Garden,2022-10,"7,753.55"
108Pagoda,2022-10,"6,896.88"
2208Chase,2022-10,"8,571.69"
104Meadow,2022-10,"8,406.06"
108Meadow,2022-10,"2,547.86"
116Meadow,2022-10,"9,009.06"
116MeadowSavings,2022-10,"2,954.66"
1342Newton,2022-10,"6,374.17"
1316Rosemon,2022-10,"14,424.78"
874Wintergreen,2022-10,"5,533.57"
PagodaSecurity,2022-10,"20,429.91"
711Parks,2022-10,"8,232.58"
Midway,2022-10,"170,161.22"
1117Brewer,2022-10,"10,088.00"
Partnership,2022-10,"169,847.36"
8604Wagon,2022-10,"6,946.86"
114Sidney,2022-10,"6,968.59"
2224Heatherton,2022-10,"43,559.66"
4920Brianhill,2022-10,"13,316.91"
Common,2022-10,-119.36
6401Basswood,2022-10,"26,365.85"
4909Jamesway,2022-10,"31,334.19"
7417Canoga,2022-10,"13,594.92"
TrustChase,2022-10,"1,200.00"
MeadowSecurity,2022-11,"1,565.00"
TrustAccount,2022-11,"5,450.00"
1905Morning,2022-11,"116,226.03"
2417Garden,2022-11,"8,195.98"
108Pagoda,2022-11,"10,851.82"
2208Chase,2022-11,"8,572.16"
104Meadow,2022-11,"10,318.35"
108Meadow,2022-11,"7,950.74"
116Meadow,2022-11,"9,494.04"
116MeadowSavings,2022-11,"3,104.82"
1342Newton,2022-11,"5,733.01"
1316Rosemon,2022-11,"19,601.09"
874Wintergreen,2022-11,"8,298.62"
PagodaSecurity,2022-11,"20,431.02"
711Parks,2022-11,"11,223.63"
Midway,2022-11,"188,493.73"
1117Brewer,2022-11,"12,896.52"
Partnership,2022-11,"169,937.71"
8604Wagon,2022-11,"9,778.07"
114Sidney,2022-11,"9,478.89"
2224Heatherton,2022-11,"38,599.66"
4920Brianhill,2022-11,"15,970.36"
Common,2022-11,"2,298.87"
6401Basswood,2022-11,"26,416.14"
4909Jamesway,2022-11,"37,221.43"
7417Canoga,2022-11,"12,539.29"
TrustChase,2022-11,"1,200.00"
MeadowSecurity,2022-12,170
TrustAccount,2022-12,"5,450.00"
1905Morning,2022-12,"1,740.73"
2417Garden,2022-12,"2,882.17"
108Pagoda,2022-12,"1,490.60"
2208Chase,2022-12,"6,573.09"
104Meadow,2022-12,721.3
108Meadow,2022-12,"1,683.71"
116Meadow,2022-12,"1,217.67"
116MeadowSavings,2022-12,"3,255.23"
1342Newton,2022-12,"2,015.56"
1316Rosemon,2022-12,"2,267.34"
874Wintergreen,2022-12,"1,360.80"
PagodaSecurity,2022-12,"10,217.49"
711Parks,2022-12,"1,130.27"
Midway,2022-12,"47,271.84"
1117Brewer,2022-12,"1,389.36"
Partnership,2022-12,"545,558.58"
8604Wagon,2022-12,"2,222.93"
114Sidney,2022-12,"3,345.48"
2224Heatherton,2022-12,"32,379.23"
4920Brianhill,2022-12,"8,206.74"
Common,2022-12,"1,754.82"
6401Basswood,2022-12,"4,497.01"
4909Jamesway,2022-12,"4,416.97"
7417Canoga,2022-12,"2,797.48"
TrustChase,2022-12,"3,700.00"
MeadowSecurity,2023-01,160
TrustAccount,2023-01,"5,450.00"
1905Morning,2023-01,"1,665.73"
2417Garden,2023-01,"2,320.69"
108Pagoda,2023-01,470.63
2208Chase,2023-01,"6,573.92"
104Meadow,2023-01,881.1
108Meadow,2023-01,795.14
116Meadow,2023-01,536.65
116MeadowSavings,2023-01,"3,405.66"
1342Newton,2023-01,"1,374.40"
1316Rosemon,2023-01,869.65
874Wintergreen,2023-01,591.79
PagodaSecurity,2023-01,"18,219.75"
711Parks,2023-01,321.32
Midway,2023-01,"54,844.99"
1117Brewer,2023-01,602.88
Partnership,2023-01,"545,252.96"
8604Wagon,2023-01,"1,289.14"
114Sidney,2023-01,"1,213.52"
2224Heatherton,2023-01,"21,816.48"
4920Brianhill,2023-01,"11,334.13"
Common,2023-01,"1,377.36"
